"ATIV_SQ_ATIVIDADE","ATIV_CD_ATIVIDADE","ATIV_NM_ATIVIDADE"
"365","D01520","PERFURACAO 12 1/4"" COM ALARGADOR 14 3/4"""
"366","D01521","PERFURACAO 12 1/4"" COM ALARGADOR 14"""
"367","D01426","PERFURACAO 12 1/4 COM ALARGADOR 16"""
"368","P100470","PERFURACAO 12 1/4"""
"369","D01510","PERFURACAO 12 1/4"""
"370","P01510","PERFURACAO 12 1/4"""
"371","P100440","PERFURACAO 12 1/4"" COM ALARGADOR 14 3/4"""
"372","P100450","PERFURACAO 12 1/4"" COM ALARGADOR 14 3/4"" FINAL"
"373","P100440PF","PERFURACAO 12 1/4"" COM ALARGADOR 14 3/4"" FINAL"
"374","D01520PF","PERFURACAO 12 1/4"" COM ALARGADOR 14 3/4"" FINAL"
"375","P100460","PERFURACAO 12 1/4"" COM ALARGADOR 14"""
"376","P100430","PERFURACAO 12 1/4"" COM ALARGADOR 16"""
"377","P100400","PERFURACAO 12 1/4"" COM ALARGADOR 17 1/2"""
"378","P100420","PERFURACAO 12 1/4"" COM ALARGADOR 17 1/2"" FINAL"
"379","P100400PF","PERFURACAO 12 1/4"" COM ALARGADOR 17 1/2"" FINAL"
"380","P100410","PERFURACAO 12 1/4"" COM ALARGADOR 17 1/2"" PILOTO"
"381","D01345","PERFURACAO 12 1/4"" COM ALARGADOR 22"""
"382","P100520","PERFURACAO 12 1/4"" COM TESTEMUNHAGEM"
"383","D01511","PERFURACAO 12 1/4"" COM TESTEMUNHAGEM 12 1/4"""
"384","D01510C","PERFURACAO 12 1/4"" CONTINUACAO"
"385","D01510DES","PERFURACAO 12 1/4"" DESVIO"
"386","P100510","PERFURACAO 12 1/4"" FINAL"
"387","P100500","PERFURACAO 12 1/4"" INTERMEDIARIA"
"388","P100480","PERFURACAO 12 1/4"" PILOTO"
"389","D01513","PERFURACAO 12 1/4"" PILOTO"
"390","P100490","PERFURACAO 12 1/4"" PILOTO FINAL"
"391","D01518","PERFURACAO 12 1/4"" PILOTO FINAL"
"392","P100530","PERFURACAO 12 3/4"""
"393","D01503","PERFURACAO 14 1/4"""
"394","P100370","PERFURACAO 14 3/4"""
"395","D01500","PERFURACAO 14 3/4"""
"396","P10037010","PERFURACAO 14 3/4"""
"397","P100357","PERFURACAO 14 3/4"" COM ALARGADOR 16 1/2"""
